Player Name,Position,Season Year,Total points,FG %,3FG %,Games Played
Jared McCain,Shooting Guard and Point Guard,2024-2025,352,46.00%,38.30%,23
Quentin Grimes,Shooting Guard,2021-2022,275,40.40%,38.10%,46
Joel Embiid,Center,2016-2017,627,46.60%,36.70%,31
Tyrese Maxey,Shooting Guard and Point Guard,2020-2021,488,46.20%,30.10%,61
Adem Bona,Center and Power Forward,2024-2025,337,70.30%,0.00%,58
Oshae Brissett,Small Forward and Power Forward,2019-2020,37,36.10%,20.00%,19
Marcus Bagley,Small Forward,2024-2025,67,39.10%,15.60%,10
Jared Butler,Shooting Guard and Point Guard,2021-2022,161,40.40%,31.80%,42
Ricky Council IV,Shooting Guard and Small Forward,2023-2024,173,48.20%,37.50%,32
Jeff Dowtin Jr.,Point Guard,2021-2022,19,30.80%,11.10%,9
Andre Drummond,Center,2012-2013,476,60.80%,50.00%,60
Justin Edwards,Small Forward,2024-2025,445,44.50%,36.30%,44
Paul George,"Small Forward, Power Forward, and Shooting Guard",2010-2011,476,45.30%,29.70%,61
Eric Gordon,Shooting Guard and Small Forward,2008-2009,1252,45.60%,38.90%,78
Jalen Hood-Schinfino,Shooting Guard,2023-2024,34,22.20%,13.30%,21
Kyle Lowry,Point Guard,2006-2007,56,36.80%,37.50%,10
Isaiah Mobley,Power Forward,2022-2023,31,42.90%,37.50%,12
Kelly Oubre Jr.,Small Forward,2015-2016,236,42.70%,31.60%,63
Alex Reese,Power Forward,2024-2025,76,48.10%,36.60%,15
Lonnie Walker IV,Shooting Guard,2018-2019,45,34.80%,38.50%,17
Guerschon Yabusele,Power Forward and Center,2017-2018,79,42.60%,32.40%,33
Victor Wembanyama,Center and Power Forward,2023-2024,1522,46.50%,32.50%,71
Paolo Banchero,Power Forward,2022-2023,1437,42.70%,29.80%,72
Scottie Barnes,"Small Forward, Power Forward, and Shooting Guard",2021-2022,1134,49.20%,30.10%,74
Lamelo Ball,Point Guard,2020-2021,803,43.60%,35.20%,51
Ja Morant,Point Guard,2019-2021,1193,47.70%,33.50%,67
Luka Doncic,Shooting Guard and Point Guard,2018-2019,1526,42.70%,32.70%,72
Stephon Castle,Point Guard,2024-2025,1190,42.80%,28.50%,81
