Date,Game Date,Interest Score,Week Average,Game Points:
10/16/2024,,2,,
10/17/2024,,18,,
10/18/2024,,7,,
10/19/2024,,5,,
10/20/2024,,3,,
10/21/2024,,3,,
10/22/2024,,4,,
10/23/2024,10/23/2024,4,5.75,4
10/24/2024,,9,,
10/25/2024,10/25/2024,3,4.75,0
10/26/2024,,3,,
10/27/2024,10/27/2024,3,4,4
10/28/2024,,4,,
10/29/2024,,2,,
10/30/2024,10/30/2024,2,3.75,12
10/31/2024,,3,,
11/1/2024,,1,,
11/2/2024,11/2/2024,2,2.5,19
11/3/2024,,6,,
11/4/2024,11/4/2024,3,2.875,3
11/5/2024,,3,,
11/6/2024,11/6/2024,1,2.625,5
11/7/2024,,2,,
11/8/2024,11/8/2024,2,2.5,18
11/9/2024,,11,,
11/10/2024,11/10/2024,3,3.875,27
11/11/2024,,22,,
11/12/2024,11/12/2024,9,6.625,23
11/13/2024,11/13/2024,23,9.125,34
11/14/2024,,50,,
11/15/2024,11/15/2024,22,17.75,29
11/16/2024,,37,,
11/17/2024,,18,,
11/18/2024,11/18/2024,24,25.625,20
11/19/2024,,33,,
11/20/2024,11/20/2024,27,29.25,20
11/21/2024,,30,,
11/22/2024,11/22/2024,27,27.25,30
11/23/2024,,100,,
11/24/2024,11/24/2024,44,37.875,18
11/25/2024,,33,,
11/26/2024,,24,,
11/27/2024,11/27/2024,33,39.75,15
11/28/2024,,36,,
11/29/2024,,16,,
11/30/2024,11/30/2024,25,38.875,7
12/1/2024,,21,,
12/2/2024,,10,,
12/3/2024,12/3/2024,16,22.625,17
12/4/2024,12/4/2024,21,22.25,24
12/5/2024,,22,,
12/6/2024,12/6/2024,17,18.5,7
12/7/2024,,15,,
12/8/2024,12/8/2024,9,16.375,11
12/9/2024,,9,,
12/10/2024,,7,,
12/11/2024,,7,,
12/12/2024,,6,,
12/13/2024,12/13/2024,8,9.75,5
