DATE,POINTS,# TIK-TOKS,OUTCOME,OPP,# MIN
10/23/2024,4,1,L 109-124,MIL,3:52
10/25/2024,0,0,L 107-115,TOR,3:56
10/27/2024,4,0,W 118-114 (OT),IND,17:24
10/30/2024,12,0,L 95-105,DET,21:49
11/2/2024,19,1,L 107-124,MEM,16:36
11/4/2024,3,0,L 116-118,PHO,2:59
11/6/2024,5,0,L 98-110,LAC,12:00
11/8/2024,18,0,L 106-116,LAL,30:31:00
11/10/2024,27,1,W 107-105 (OT),CHO,30:58:00
11/12/2024,23,2,L 99-111,NYK,30:14:00
11/13/2024,34,2,L 106-114,CLE,38:08:00
11/15/2024,29,3,L 86-98,ORL,31:21:00
11/18/2024,20,4,L 89-106,MIA,36:31:00
11/20/2024,20,4,L 111-117,MEM,40:34:00
11/22/2024,30,4,W 113-98,BRK,38:40:00
11/24/2024,18,6,L 99-125,LAC,27:53:00
11/27/2024,15,3,L 115-122 (OT),HOU,41:02:00
11/30/2024,7,3,W 111-96,DET,29:12:00
12/3/2024,17,3,W 110-104,CHO,21:38
12/4/2024,24,3,L 102-106,ORL,38:41:00
12/6/2024,7,3,W 102-94,ORL,20:43
12/8/2024,11,2,W 108-100,CHI,28:14:00
12/13/2024,5,3,L 107-121,IND,28:50:00
